epoch,accuracy,loss,val_accuracy,val_loss
0,0.46000000834465027,1.004563808441162,0.5,0.5761756300926208
1,0.7699999809265137,0.4147214889526367,0.9399999976158142,0.2542146146297455
2,0.9399999976158142,0.2243143916130066,0.9599999785423279,0.16148042678833008
3,0.9800000190734863,0.15289664268493652,0.9800000190734863,0.14017540216445923
4,0.9800000190734863,0.12361673265695572,0.9800000190734863,0.10140462964773178
5,0.9700000286102295,0.09852049499750137,0.949999988079071,0.10208049416542053
6,0.949999988079071,0.10608403384685516,0.949999988079071,0.09356574714183807
7,0.9700000286102295,0.08297399431467056,0.9800000190734863,0.0716729462146759
8,0.9800000190734863,0.06913629174232483,0.9800000190734863,0.06811226904392242
9,0.9800000190734863,0.06588935106992722,0.9800000190734863,0.0609939806163311
10,0.9700000286102295,0.07791641354560852,0.9700000286102295,0.0763862282037735
11,0.9900000095367432,0.07176045328378677,0.9900000095367432,0.06051618978381157
12,0.9800000190734863,0.06115258112549782,0.9800000190734863,0.051006902009248734
13,0.9800000190734863,0.05159418657422066,0.9800000190734863,0.05098693445324898
14,0.9800000190734863,0.04873238876461983,0.9800000190734863,0.04360426962375641
15,0.9800000190734863,0.04488193988800049,0.9900000095367432,0.04188751056790352
16,0.9900000095367432,0.042217761278152466,0.9900000095367432,0.04166603460907936
17,0.9900000095367432,0.0413343571126461,0.9900000095367432,0.03614170104265213
18,0.9900000095367432,0.03740397468209267,0.9900000095367432,0.03798646852374077
19,0.9900000095367432,0.04001229256391525,0.9900000095367432,0.037043944001197815
