epoch,accuracy,loss,val_accuracy,val_loss
0,0.9200000166893005,0.5832900404930115,0.5,815.6436157226562
1,0.9399999976158142,0.11126655340194702,0.5099999904632568,530.307373046875
2,0.9800000190734863,0.03216268867254257,0.5099999904632568,211.2864990234375
3,0.9900000095367432,0.03099346160888672,0.5199999809265137,96.72885131835938
4,0.9800000190734863,0.03155721724033356,0.6800000071525574,13.892036437988281
5,0.9900000095367432,0.009306047111749649,0.9900000095367432,0.21383079886436462
6,0.9599999785423279,0.10828855633735657,0.9700000286102295,0.3917078673839569
7,0.9900000095367432,0.03142426908016205,0.9599999785423279,0.9081292152404785
8,0.9300000071525574,0.15180601179599762,0.949999988079071,1.129296064376831
9,0.9399999976158142,0.19285686314105988,0.9900000095367432,0.45478707551956177
